Name,Config status,Address,Accessible,Type,# VMs total,# VMs,Capacity MiB,Provisioned MiB,In Use MiB,Free MiB,Free %,SIOC enabled,SIOC Threshold,# Hosts,Hosts,Cluster name,Cluster capacity MiB,Cluster free space MiB,Block size,Max Blocks,# Extents,Major Version,Version,VMFS Upgradeable,MHA,URL,Object ID,VI SDK Server,VI SDK UUID
prod-vmfs-01,green,,True,VMFS,69,69,20971520,44400640,20342374,629145,3,False,30,6,"esx-prod01.corp.example, esx-prod02.corp.example, esx-prod03.corp.example, esx-prod04.corp.example, esx-prod05.corp.example, esx-prod06.corp.example",,,,1,,1,6,6.82,,,ds:///vmfs/volumes/1c80317fa3b1799d/,datastore-200,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
prod-vmfs-02,green,,True,VMFS,54,54,20971520,30894080,17406361,3565158,17,False,30,6,"esx-prod01.corp.example, esx-prod02.corp.example, esx-prod03.corp.example, esx-prod04.corp.example, esx-prod05.corp.example, esx-prod06.corp.example",,,,1,,1,6,6.82,,,ds:///vmfs/volumes/bdd640fb06671ad1/,datastore-201,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
prod-vmfs-03,green,,True,VMFS,59,59,20971520,30400512,20342374,629145,3,False,30,6,"esx-prod01.corp.example, esx-prod02.corp.example, esx-prod03.corp.example, esx-prod04.corp.example, esx-prod05.corp.example, esx-prod06.corp.example",,,,1,,1,6,6.82,,,ds:///vmfs/volumes/3eb13b9046685257/,datastore-202,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
prod-vmfs-04,green,,True,VMFS,42,42,20971520,20588789,19608371,1363148,6,False,30,6,"esx-prod01.corp.example, esx-prod02.corp.example, esx-prod03.corp.example, esx-prod04.corp.example, esx-prod05.corp.example, esx-prod06.corp.example",,,,1,,1,6,6.82,,,ds:///vmfs/volumes/23b8c1e9392456de/,datastore-203,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
prod-vmfs-05,green,,True,VMFS,47,47,20971520,33973862,13105044,7866475,38,False,30,6,"esx-prod01.corp.example, esx-prod02.corp.example, esx-prod03.corp.example, esx-prod04.corp.example, esx-prod05.corp.example, esx-prod06.corp.example",,,,1,,1,6,6.82,,,ds:///vmfs/volumes/1a3d1fa7bc8960a9/,datastore-204,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
dev-nfs-01,green,nfs01.corp.example:/vol/dev-nfs-01,True,NFS,50,50,10485760,32256000,10171187,314572,3,False,30,3,"esx-dev01.corp.example, esx-dev02.corp.example, esx-dev03.corp.example",,,,,,,,,,,ds:///vmfs/volumes/bd9c66b3ad3c2d6d/,datastore-205,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
dev-nfs-02,green,nfs01.corp.example:/vol/dev-nfs-02,True,NFS,49,49,10485760,29265920,9017753,1468006,14,False,30,3,"esx-dev01.corp.example, esx-dev02.corp.example, esx-dev03.corp.example",,,,,,,,,,,ds:///vmfs/volumes/8b9d2434e465e150/,datastore-206,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
mgmt-vsan,green,,True,vsan,25,25,31457280,14110720,10827486,20629793,66,False,30,2,"esx-mgmt01.corp.example, esx-mgmt02.corp.example",,,,,,,,,,,ds:///vmfs/volumes/972a846916419f82/,datastore-207,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
iso-library,green,nfs01.corp.example:/vol/iso-library,True,NFS,0,0,2097152,22020,20971,2076180,99,False,30,9,"esx-prod01.corp.example, esx-prod02.corp.example, esx-prod03.corp.example, esx-prod04.corp.example, esx-prod05.corp.example, esx-prod06.corp.example, esx-dev01.corp.example, esx-dev02.corp.example, esx-dev03.corp.example",,,,,,,,,,,ds:///vmfs/volumes/0822e8f36c031199/,datastore-208,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod01-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-prod01.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/17fc695a07a0ca6e/,datastore-209,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
