VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
PRD-FS-001,poweredOn,False,False,Hard disk 1,2000,6000C2993ad4d4c4a0493ed9a5d83148,[prod-vmfs-02] PRD-FS-001/PRD-FS-001.vmdk,61440,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-02] PRD-FS-001/PRD-FS-001.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1000,42d8f5645be6128e18c267976142ea7d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-001,poweredOn,False,False,Hard disk 2,2001,6000C29837809a0a4098de31d7f3b054,[prod-vmfs-02] PRD-FS-001/PRD-FS-001_1.vmdk,2048000,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 2,0:1,1,noSharing,[prod-vmfs-02] PRD-FS-001/PRD-FS-001_1.vmdk,,,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1000,42d8f5645be6128e18c267976142ea7d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-001,poweredOn,False,False,Hard disk 3,2002,6000C292d45fd39a376788ab032a0c06,[prod-vmfs-01] PRD-FS-001/PRD-FS-001_2.vmdk,2048000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 3,0:2,2,noSharing,[prod-vmfs-01] PRD-FS-001/PRD-FS-001_2.vmdk,,,2,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1000,42d8f5645be6128e18c267976142ea7d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-002,poweredOn,False,False,Hard disk 1,2000,6000C29907fcb800da4954080011be30,[prod-vmfs-03] PRD-RDS-002/PRD-RDS-002.vmdk,81920,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-RDS-002/PRD-RDS-002.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1001,42e2acf79e574f7aa0ee89aed453dd32,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-003,poweredOn,False,False,Hard disk 1,2000,6000C2941ebd55b6e60584a208f548e7,[prod-vmfs-01] PRD-APP-003/PRD-APP-003.vmdk,40960,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-01] PRD-APP-003/PRD-APP-003.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1002,42472947614ff3d719db3ad0ddd1dfb2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-003,poweredOn,False,False,Hard disk 2,2001,6000C29eeea7a67fee1cb89a74f935ca,[prod-vmfs-01] PRD-APP-003/PRD-APP-003_1.vmdk,102400,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 2,0:1,1,noSharing,[prod-vmfs-01] PRD-APP-003/PRD-APP-003_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1002,42472947614ff3d719db3ad0ddd1dfb2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-004,poweredOn,False,False,Hard disk 1,2000,6000C292b119e78cbb3f429710335eb4,[prod-vmfs-03] PRD-SQL-004/PRD-SQL-004.vmdk,61440,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-SQL-004/PRD-SQL-004.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1003,4288bd642bcfbe01a28defe39bf00273,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-004,poweredOn,False,False,Hard disk 2,2001,6000C290609eed33ad92abbf65c51c9a,[prod-vmfs-03] PRD-SQL-004/PRD-SQL-004_1.vmdk,256000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 2,0:1,1,noSharing,[prod-vmfs-03] PRD-SQL-004/PRD-SQL-004_1.vmdk,,,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1003,4288bd642bcfbe01a28defe39bf00273,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-005,poweredOn,False,False,Hard disk 1,2000,6000C29c72af6a55b08e8dd43c1d10be,[prod-vmfs-01] PRD-WEB-005/PRD-WEB-005.vmdk,81920,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,BusLogic,Hard disk 1,0:0,0,noSharing,[prod-vmfs-01] PRD-WEB-005/PRD-WEB-005.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 Enterprise,vm-1004,423aa2e40e51f30dc6a7ee39c4b032cc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-005,poweredOn,False,False,Hard disk 2,2001,6000C299df9f10990b4ba6c4a6725796,[prod-vmfs-01] PRD-WEB-005/PRD-WEB-005_1.vmdk,102400,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,BusLogic,Hard disk 2,0:1,1,noSharing,[prod-vmfs-01] PRD-WEB-005/PRD-WEB-005_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 Enterprise,vm-1004,423aa2e40e51f30dc6a7ee39c4b032cc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
