Name,Message,Message type,VI SDK Server,VI SDK UUID
PRD-APP-003,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-004,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-006,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-011,VM has an active snapshot! CHG0041337 rollback created on 08/29/2026 09:14:00,Snapshot,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-015,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-019,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-020,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-025,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-029,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-033,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-037,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-038,VM has an active snapshot! Snapshot 1 created on 08/30/2026 08:50:00,Snapshot,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-041,"VMware tools are out of date, not running or not installed!",VM Tools,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
