Host,Datacenter,Cluster,Config status,Compliance Check State,in Maintenance Mode,in Quarantine Mode,vSAN Fault Domain Name,CPU Model,Speed,HT Available,HT Active,# CPU,Cores per CPU,# Cores,CPU usage %,# Memory,Memory Tiering Type,Memory usage %,Console,# NICs,# HBAs,# VMs total,# VMs,VMs per Core,# vCPUs,vCPUs per Core,vRAM,VM Used memory,VM Memory Swapped,VM Memory Ballooned,VMotion support,Storage VMotion support,Current EVC,Max EVC,Assigned License(s),ATS Heartbeat,ATS Locking,Current CPU power man. policy,Supported CPU power man.,Host Power Policy,ESX Version,Boot time,DNS Servers,DHCP,Domain,Domain List,DNS Search Order,NTP Server(s),NTPD running,Time Zone,Time Zone Name,GMT Offset,Vendor,Model,Serial number,Service tag,OEM specific string,BIOS Vendor,BIOS Version,BIOS Date,Certificate Issuer,Certificate Start Date,Certificate Expiry Date,Certificate Status,Certificate Subject,Object ID,AutoDeploy.MachineIdentity,UUID,VI SDK Server,VI SDK UUID
esx-prod01.corp.example,DC-East,Prod-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2000,True,True,2,32,64,48,1048576,,78,0,4,2,27,26,0.41,186,2.91,663552,736100,0,0,True,True,,intel-icelake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 8.0.2 build-24790513,2026/04/25 11:17:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,Dell Inc.,PowerEdge R750,SNCA4000C5,,,Dell Inc.,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-100,,4c4c4544-9aba4c0140420d1f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod02.corp.example,DC-East,Prod-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2000,True,True,2,32,64,55,1048576,,83,0,4,2,47,42,0.66,315,4.92,1042432,783286,0,0,True,True,,intel-icelake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 8.0.2 build-24790513,2026/05/30 03:51:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,Dell Inc.,PowerEdge R750,SNF9848030,,,Dell Inc.,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-101,,4c4c4544-d19c2f8c0b854f50,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,DC-East,Prod-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2000,True,True,2,32,64,61,1048576,,92,0,4,2,43,40,0.62,313,4.89,1550336,868220,0,0,True,True,,intel-icelake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 8.0.2 build-24790513,2026/06/01 19:39:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,Dell Inc.,PowerEdge R750,SN11C8398A,,,Dell Inc.,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-102,,4c4c4544-53ea4b54792f873e,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,DC-East,Prod-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2000,True,True,2,32,64,44,1048576,,74,0,4,2,35,28,0.44,135,2.11,628736,698351,0,0,True,True,,intel-icelake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 8.0.2 build-24790513,2026/05/17 05:58:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,Dell Inc.,PowerEdge R750,SN8CEC3149,,,Dell Inc.,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-103,,4c4c4544-050fd4d670fe4ca2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,DC-East,Prod-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2000,True,True,2,32,64,52,1048576,,80,0,4,2,36,34,0.53,145,2.27,765952,754974,0,0,True,True,,intel-icelake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 8.0.2 build-24790513,2026/07/20 17:51:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,Dell Inc.,PowerEdge R750,SN9D9121B2,,,Dell Inc.,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-104,,4c4c4544-30544160908bb7f9,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,DC-East,Prod-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2000,True,True,2,32,64,58,1048576,,77,0,4,2,36,31,0.48,169,2.64,1024000,726663,0,0,True,True,,intel-icelake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 8.0.2 build-24790513,2026/06/28 23:46:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,Dell Inc.,PowerEdge R750,SN2EC8D7C7,,,Dell Inc.,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-105,,4c4c4544-e1d82cb70a8a88d9,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev01.corp.example,DC-East,Dev-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,2100,True,True,2,16,32,31,393216,,66,0,2,1,37,33,1.03,206,6.44,935936,233570,0,0,True,True,,intel-skylake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 7.0.3 build-21930508,2026/06/29 23:55:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,HPE,ProLiant DL380 Gen10,SN381D02E5,,,HPE,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-106,,4c4c4544-4ec24fb471fef0ab,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev02.corp.example,DC-East,Dev-Cluster,green,,False,False,,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,2100,True,True,2,16,32,27,393216,,71,0,2,1,22,21,0.66,109,3.41,329728,251265,0,0,True,True,,intel-skylake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 7.0.3 build-21930508,2026/06/05 01:26:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,HPE,ProLiant DL380 Gen10,SNC4C1D181,,,HPE,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-107,,4c4c4544-2b105a3d7f07a2ad,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev03.corp.example,DC-East,Dev-Cluster,green,,True,False,,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2100,True,True,2,16,32,22,393216,,58,0,2,1,32,28,0.88,158,4.94,598016,205258,0,0,True,True,,intel-icelake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 8.0.2 build-24790513,2026/06/17 01:08:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,HPE,ProLiant DL380 Gen10,SN6DABAA1C,,,HPE,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2029/01/10 00:00:00,good,,host-108,,4c4c4544-55d25c83c7e9607b,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt01.corp.example,DC-West,Mgmt-Cluster,green,,False,False,,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2400,True,True,2,14,28,52,262144,,91,0,2,1,11,11,0.39,52,1.86,243712,214695,0,0,True,True,,intel-skylake,VMware vSphere 8 Enterprise Plus,True,True,Balanced,"Static, Dynamic",Balanced,VMware ESXi 6.7.0 build-17700523,2025/03/30 02:58:00,"10.0.15.53, 10.0.15.54",False,corp.example,,corp.example,"ntp1.corp.example, ntp2.corp.example",True,UTC,UTC,0,Cisco Systems Inc,UCSC-C240-M4SX,SND2EC1379,,,Cisco Systems Inc,2.19.1,2024/03/01 00:00:00,"O=VMware, CN=CA",2024/01/10 00:00:00,2026/10/12 09:30:00,good,,host-109,,4c4c4544-9295e16263833b28,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
