VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
PRD-FS-001,poweredOn,False,False,green,prd-fs-001.corp.example,connected,running,green,True,2026/08/05 02:42:00,,,,2023/08/25 07:44:00,,2,2,8192,2519,1,3,4157440,,,normal,,True,TRUE,10.10.100.11,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,4165932,2958230,2958230,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,20,none,never,,[prod-vmfs-02] PRD-FS-001/PRD-FS-001.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1000,,42d8f5645be6128e18c267976142ea7d,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-002,poweredOn,False,False,green,prd-rds-002.corp.example,connected,running,green,False,2026/06/30 15:52:00,,,,2020/02/21 02:45:00,,4,0,4096,1344,2,1,81920,,,normal,,True,TRUE,10.10.110.11,PG-DB-110,PG-App-100,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,86316,53398,53398,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,13,none,never,,[prod-vmfs-03] PRD-RDS-002/PRD-RDS-002.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1001,,42e2acf79e574f7aa0ee89aed453dd32,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-003,poweredOn,False,False,green,prd-app-003.corp.example,connected,running,green,False,2026/07/15 02:49:00,,,,2022/07/10 04:07:00,,4,0,4096,1596,1,2,143360,,,normal,,True,TRUE,10.10.120.11,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,147756,62534,62534,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,19,none,never,,[prod-vmfs-01] PRD-APP-003/PRD-APP-003.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,,,vm-1002,,42472947614ff3d719db3ad0ddd1dfb2,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-004,poweredOn,False,False,green,prd-sql-004.corp.example,connected,notRunning,red,False,2026/08/17 06:44:00,,,,2024/10/11 19:06:00,,16,0,131072,27438,2,2,317440,,,normal,,True,TRUE,10.10.120.12,PG-Web-120,PG-Web-120,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,448812,323384,323384,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,14,none,never,,[prod-vmfs-03] PRD-SQL-004/PRD-SQL-004.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,,,vm-1003,,4288bd642bcfbe01a28defe39bf00273,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-005,poweredOn,False,False,green,prd-web-005.corp.example,connected,running,green,False,2026/07/26 11:12:00,,,,2017/08/01 23:05:00,,2,7,65536,14267,1,2,184320,,,normal,,True,TRUE,10.10.110.12,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,250156,179071,179071,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,13,none,never,,[prod-vmfs-01] PRD-WEB-005/PRD-WEB-005.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 Enterprise,,,vm-1004,,423aa2e40e51f30dc6a7ee39c4b032cc,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-006,poweredOn,False,False,green,prd-web-006.corp.example,connected,running,green,False,2026/08/19 14:07:00,,,,2025/01/04 01:22:00,,8,1,16384,5525,1,1,61440,,,normal,,True,TRUE,10.10.120.14,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,78124,57491,57491,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,17,none,never,,[prod-vmfs-02] PRD-WEB-006/PRD-WEB-006.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1005,,42ea1fcae27a984d654821d07fcd9eb1,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-007,poweredOn,False,False,green,prd-web-007.corp.example,connected,running,green,False,2026/07/09 22:03:00,,,,2025/01/22 16:59:00,,4,0,32768,8544,1,2,337920,,,normal,,True,TRUE,10.10.100.13,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,370988,236388,236388,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,9,none,never,,[prod-vmfs-04] PRD-WEB-007/PRD-WEB-007.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,,,vm-1006,,423825675cabcc97663f1c97956269f0,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,green,prd-app-008.corp.example,connected,running,green,False,2026/08/04 11:05:00,,,,2019/12/06 18:57:00,,2,0,65536,22164,1,3,3112960,,,normal,,True,TRUE,10.10.110.13,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,3178796,2001141,2001141,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,20,none,never,,[prod-vmfs-03] PRD-APP-008/PRD-APP-008.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1007,,4210435a98ae43346c12ace8ae340454,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,poweredOn,False,False,green,prd-web-009.corp.example,connected,running,green,False,2026/06/09 19:21:00,,,,2019/06/04 23:23:00,,1,7,65536,23811,1,2,573440,,,normal,,True,TRUE,10.10.110.14,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,639276,408907,408907,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,20,none,never,,[prod-vmfs-04] PRD-WEB-009/PRD-WEB-009.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1008,,42c039878976e334e2817efdae849217,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-010,poweredOff,False,False,green,,connected,notRunning,gray,False,,,,,2019/08/07 23:37:00,,1,,8192,0,1,2,1085440,,,normal,,True,TRUE,,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,1093932,1085440,1085440,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,20,none,never,,[prod-vmfs-04] PRD-WEB-010/PRD-WEB-010.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2019 (64-bit),,,,vm-1009,,42e9a1fa81f76d1c2dbc2134c30ff46e,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
