Host,Datacenter,Cluster,Network Device,Driver,Speed,Duplex,MAC,Switch,Uplink port,PCI,WakeOn,VI SDK Server,VI SDK UUID
esx-prod01.corp.example,DC-East,Prod-Cluster,vmnic0,bnxtnet,25000,Full,b4:96:91:00:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod01.corp.example,DC-East,Prod-Cluster,vmnic1,bnxtnet,25000,Full,b4:96:91:00:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod01.corp.example,DC-East,Prod-Cluster,vmnic2,bnxtnet,25000,Full,b4:96:91:00:00:02,dvs-prod,uplink3,0000:3b:00.2,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod01.corp.example,DC-East,Prod-Cluster,vmnic3,bnxtnet,25000,Full,b4:96:91:00:00:03,dvs-prod,uplink4,0000:3b:00.3,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod02.corp.example,DC-East,Prod-Cluster,vmnic0,bnxtnet,25000,Full,b4:96:91:01:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod02.corp.example,DC-East,Prod-Cluster,vmnic1,bnxtnet,25000,Full,b4:96:91:01:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod02.corp.example,DC-East,Prod-Cluster,vmnic2,bnxtnet,25000,Full,b4:96:91:01:00:02,dvs-prod,uplink3,0000:3b:00.2,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod02.corp.example,DC-East,Prod-Cluster,vmnic3,bnxtnet,25000,Full,b4:96:91:01:00:03,dvs-prod,uplink4,0000:3b:00.3,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,DC-East,Prod-Cluster,vmnic0,bnxtnet,25000,Full,b4:96:91:02:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,DC-East,Prod-Cluster,vmnic1,bnxtnet,25000,Full,b4:96:91:02:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,DC-East,Prod-Cluster,vmnic2,bnxtnet,25000,Full,b4:96:91:02:00:02,dvs-prod,uplink3,0000:3b:00.2,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,DC-East,Prod-Cluster,vmnic3,bnxtnet,25000,Full,b4:96:91:02:00:03,dvs-prod,uplink4,0000:3b:00.3,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,DC-East,Prod-Cluster,vmnic0,bnxtnet,25000,Full,b4:96:91:03:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,DC-East,Prod-Cluster,vmnic1,bnxtnet,25000,Full,b4:96:91:03:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,DC-East,Prod-Cluster,vmnic2,bnxtnet,25000,Full,b4:96:91:03:00:02,dvs-prod,uplink3,0000:3b:00.2,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,DC-East,Prod-Cluster,vmnic3,bnxtnet,25000,Full,b4:96:91:03:00:03,dvs-prod,uplink4,0000:3b:00.3,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,DC-East,Prod-Cluster,vmnic0,bnxtnet,25000,Full,b4:96:91:04:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,DC-East,Prod-Cluster,vmnic1,bnxtnet,25000,Full,b4:96:91:04:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
