VM,Powerstate,Template,SRM Placeholder,Disk Key,Disk,Capacity MiB,Consumed MiB,Free MiB,Free %,Internal Sort Column,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
PRD-FS-001,poweredOn,False,False,2000,C:\,60940,42501,18438,30,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1000,42d8f5645be6128e18c267976142ea7d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-001,poweredOn,False,False,2001,D:\,2047500,580944,1466555,72,1,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1000,42d8f5645be6128e18c267976142ea7d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-001,poweredOn,False,False,2002,E:\,2047500,1178446,869053,42,2,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1000,42d8f5645be6128e18c267976142ea7d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-002,poweredOn,False,False,2000,C:\,81420,65295,16124,20,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1001,42e2acf79e574f7aa0ee89aed453dd32,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-003,poweredOn,False,False,2000,C:\,40460,31985,8474,21,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1002,42472947614ff3d719db3ad0ddd1dfb2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-003,poweredOn,False,False,2001,D:\,101900,34247,67652,66,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1002,42472947614ff3d719db3ad0ddd1dfb2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-004,poweredOn,False,False,2000,C:\,60940,46458,14481,24,0,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1003,4288bd642bcfbe01a28defe39bf00273,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-004,poweredOn,False,False,2001,D:\,255500,98167,157332,62,1,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1003,4288bd642bcfbe01a28defe39bf00273,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-005,poweredOn,False,False,2000,C:\,81420,58711,22708,28,0,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 Enterprise,vm-1004,423aa2e40e51f30dc6a7ee39c4b032cc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-005,poweredOn,False,False,2001,D:\,101900,64950,36949,36,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 Enterprise,vm-1004,423aa2e40e51f30dc6a7ee39c4b032cc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-006,poweredOn,False,False,2000,C:\,60940,22168,38771,64,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1005,42ea1fcae27a984d654821d07fcd9eb1,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-007,poweredOn,False,False,2000,C:\,81420,35412,46007,57,0,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1006,423825675cabcc97663f1c97956269f0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
