VM,Powerstate,Name,Description,Date / time,Filename,Size MiB (vmsn),Size MiB (total),Quiesced,State,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
PRD-SVC-011,poweredOn,CHG0041337 rollback,Created by ops,2026/08/29 09:14:00,[prod-vmfs-03] PRD-SVC-011/PRD-SVC-011-Snapshot1.vmsn,30,4000.368078095764,False,poweredOff,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1010,42eb226387c5421eec24a3c5c754108f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-038,poweredOn,Snapshot 1,Created by ops,2026/08/30 08:50:00,[prod-vmfs-05] PRD-APP-038/PRD-APP-038-Snapshot1.vmsn,30,110000.17435315969,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 22.04.4 LTS,vm-1037,424bb00fb27c40266703b6365380b904,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-122,poweredOn,CHG0041337 rollback,Created by ops,2026/05/04 09:11:00,[prod-vmfs-02] PRD-SVC-122/PRD-SVC-122-Snapshot1.vmsn,30,60000.41211784669,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1121,4204cc3e6fac16730ad45230bdf66ba5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-129,poweredOn,CHG0041337 rollback,Created by ops,2025/07/28 09:19:00,[prod-vmfs-02] PRD-APP-129/PRD-APP-129-Snapshot1.vmsn,30,25000.023835395976,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1128,4298159d9d713084171dabf9daf481a7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-129,poweredOn,pre-upgrade,Created by ops,2025/07/25 09:06:00,[prod-vmfs-02] PRD-APP-129/PRD-APP-129-Snapshot1.vmsn,30,60000.666993537336,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1128,4298159d9d713084171dabf9daf481a7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-145,poweredOn,pre-upgrade,Created by ops,2026/07/29 09:17:00,[prod-vmfs-02] PRD-CTX-145/PRD-CTX-145-Snapshot1.vmsn,30,110000.19096507556,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1144,423defa893364f7e83efa9f3a1c7cc8a,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-177,poweredOn,Snapshot 1,Created by ops,2026/08/31 03:55:00,[prod-vmfs-01] PRD-WEB-177/PRD-WEB-177-Snapshot1.vmsn,30,110000.56336400486,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1176,42d0d4ea79928faa4cbf131d901bcdef,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-198,poweredOn,CHG0041337 rollback,Created by ops,2026/08/11 09:01:00,[prod-vmfs-05] PRD-SQL-198/PRD-SQL-198-Snapshot1.vmsn,30,12000.33780133222,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1197,4282a7f5e61d9cde1747f3877d23d479,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-198,poweredOn,CHG0041337 rollback,Created by ops,2026/08/08 09:22:00,[prod-vmfs-05] PRD-SQL-198/PRD-SQL-198-Snapshot1.vmsn,30,110000.52993676964,False,poweredOff,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1197,4282a7f5e61d9cde1747f3877d23d479,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-199,poweredOn,test,Created by ops,2026/07/01 09:07:00,[prod-vmfs-03] PRD-SVC-199/PRD-SVC-199-Snapshot1.vmsn,30,25000.548205516207,False,poweredOff,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1198,420592bfb928e23f4ee4334ece920136,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
