Host,Datacenter,Cluster,Switch,# Ports,Free Ports,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,MTU,VI SDK Server,VI SDK UUID
esx-prod01.corp.example,DC-East,Prod-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod02.corp.example,DC-East,Prod-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,DC-East,Prod-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,DC-East,Prod-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,DC-East,Prod-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,DC-East,Prod-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev01.corp.example,DC-East,Dev-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev02.corp.example,DC-East,Dev-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev03.corp.example,DC-East,Dev-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt01.corp.example,DC-West,Mgmt-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt02.corp.example,DC-West,Mgmt-Cluster,vSwitch0,2560,2540,False,False,False,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dmz01.corp.example,DC-West,,vSwitch1,2560,2540,False,True,True,False,,,,loadbalance_srcid,True,True,False,True,True,True,1500,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
