VM,Powerstate,Template,SRM Placeholder,VM Version,Tools,Tools Version,Required Version,Upgradeable,Upgrade Policy,Sync time,App status,Heartbeat status,Kernel Crash state,Operation Ready,State change support,Interactive Guest,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VI SDK Server,VI SDK UUID
PRD-FS-001,poweredOn,False,False,20,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1000,vm-1000,42d8f5645be6128e18c267976142ea7d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-002,poweredOn,False,False,13,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1001,vm-1001,42e2acf79e574f7aa0ee89aed453dd32,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-003,poweredOn,False,False,19,toolsOld,10346,12352,Yes,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1002,vm-1002,42472947614ff3d719db3ad0ddd1dfb2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-004,poweredOn,False,False,14,toolsNotInstalled,0,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1003,vm-1003,4288bd642bcfbe01a28defe39bf00273,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-005,poweredOn,False,False,13,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 Enterprise,vm-1004,vm-1004,423aa2e40e51f30dc6a7ee39c4b032cc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-006,poweredOn,False,False,17,toolsOld,10346,12352,Yes,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1005,vm-1005,42ea1fcae27a984d654821d07fcd9eb1,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-007,poweredOn,False,False,9,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1006,vm-1006,423825675cabcc97663f1c97956269f0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,20,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,poweredOn,False,False,20,toolsOld,10346,12352,Yes,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1008,vm-1008,42c039878976e334e2817efdae849217,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-010,poweredOff,False,False,20,toolsNotRunning,12320,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,False,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),,vm-1009,vm-1009,42e9a1fa81f76d1c2dbc2134c30ff46e,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
